Latitude,Longitude,Address,Weekly Temperature
11.591034133077331,76.42188345326814,"Gudalur, Nilgiris, Tamil Nadu, India",20.1
14.778687993680762,77.51353121529307,"Kotanka, Garladinne, Anantapur, Andhra Pradesh, India",31.6
11.682067575719179,78.89968058540745,"Kallakkurichi, Kallakurichi, Tamil Nadu, India",29.8
13.044701794807047,75.73068407229668,"Nandagodanahalli, Mudigere taluk, Chikkamagaluru, Karnataka, India",21.4
14.149650140824289,79.03820519418315,"Sreerangarajupalem, Pullampeta, Annamayya, Andhra Pradesh, India",30.8
11.138029068605972,77.35019817793686,"Pitchampalayam, TiruppurNorth, Tiruppur, Tamil Nadu, 641603, India",26.9
14.491997775178566,76.50040987811555,"Channabasayyanahatti, Challakere taluku, Chitradurga, Karnataka, India",26.1
12.560511302420206,79.45210520726941,"Vandavasi, Tiruvannamalai, Tamil Nadu, India",31.0
12.027050849205702,75.94164632059692,"Shettigeri, Ponnampete taluk, Kodagu, Karnataka, 571217, India",20.4
14.771891544643141,78.17803734885756,"Gandluru - Kondapuram - Simhadripuram - Velidandla Road, Kondapuram, YSR, Andhra Pradesh, India",33.7
11.249902421238119,78.407248284512,"Saetturpatti, KOLLI HILLS, Namakkal, Tamil Nadu, India",22.0
13.695353475026783,75.79197464049,"Attiganalu, Tarikere, Tarikere taluku, Chikkamagaluru, Karnataka, 577228, India",24.8
13.620793548983958,79.43674697064803,"Tirupati, Tirupati (Urban), Tirupati, Andhra Pradesh, 517500, India",30.2
11.260674496016303,76.69318513537888,"Manjacombai, Kundah, Nilgiris, Tamil Nadu, 643204, India",18.4
14.841510151204231,77.07949496241423,"MDR, Udegolam, Kanekal, Anantapur, Andhra Pradesh, India",30.5
11.920737314915451,79.26133980366427,"Cuddalore - Chittoor Road, Thiruvennainallur, Viluppuram, Tamil Nadu, 605803, India",30.8
12.62470016956737,75.63365975095071,"Balugodu, Puneri, Sulya taluk, Dakshina Kannada, Karnataka, 574238, India",24.8
14.52732619792915,78.82216985340483,"Rachinnayapalle, Chennur, YSR, Andhra Pradesh, 516162, India",33.1
11.004741750197711,77.76874327050284,"Kangeyam, Tiruppur, Tamil Nadu, India",27.8
14.30709789238806,76.09520658842168,"Dindadahalli, Davanagere Taluku, Davanagere, Karnataka, 577534, India",24.4
12.963669582935918,79.62644661984184,"Arakonam, Ranipet, Tamil Nadu, 631051, India",30.8
11.61487705878103,76.0974423932402,"Woodlands Estate Private Road, Kalpetta, Vythiri, Wayanad, Kerala, 673121, India",21.1
14.974798143399392,77.77483848025526,"Puppala, Yadiki, Anantapur, Andhra Pradesh, India",33.3
11.365893557159234,78.84093260029884,"Thondapady, Veppanthattai, Perambalur, Tamil Nadu, 621219, India",29.2
13.31591714933214,75.55400693474607,"Hunasehalli, Chikkamagaluru taluku, Chikkamagaluru, Karnataka, 577136, India",21.4
14.060646995829869,79.35538425539976,"Gaddalerupalle, Obulavaripalle, Annamayya, Andhra Pradesh, India",29.8
10.993373194977218,77.05832317046605,"Pattanam Road, Ondipudur, Sulur, Coimbatore, Tamil Nadu, 641016, India",25.6
14.793507820109127,76.61901951503785,"Kasapura, Kudligi taluku, Vijayanagara, Karnataka, 583130, India",26.5
12.257875100711804,79.56789919597772,"Deevanur, Tindivanam, Viluppuram, Tamil Nadu, India",31.1
12.170696251173725,75.6468139498604,"Madikeri taluku, Kodagu, Karnataka, India",20.9
14.857593135826008,78.49933261395135,"Parlapadu, Rajupalem, YSR, Andhra Pradesh, India",35.4
10.975790391579064,78.23114416316739,"Seelaipillaiyarputhur - Kattuputhur - Namakkal Road, V.S.Nagar, Kattupputtur, Thottiyam, Tiruchirappalli, Tamil Nadu, 621207, India",26.4
14.014994537422362,75.73175990332334,"Holehatti, Bhadravati taluk, Shimoga, Karnataka, 577233, India",24.0
13.419532155475578,79.69815624207871,"Sadasivapuram, Peddapatteda, Nindra, Chittoor, Andhra Pradesh, 517591, India",30.3
11.23377983822388,76.36408187894223,"Girijan Colony, Chokkad, Chettipadam, Nilambur, Malappuram, Kerala, India",25.1
15.079659925771447,77.3090329758953,"Poliki, Vidapanakal, Anantapur, Andhra Pradesh, India",33.6
11.593903769027788,79.25363294843115,"Virudhachalam, Cuddalore, Tamil Nadu, 606104, India",30.6
12.868951630724382,75.4115818784637,"Kokkada, Kadaba taluk, Dakshina Kannada, Karnataka, 574229, India",25.1
14.48863186958079,79.15631956457607,"Gopavaram, YSR, Andhra Pradesh, India",28.7
10.81257273995671,77.49926708554071,"Kaathapullavampatti, Dharapuram, Tiruppur, Tamil Nadu, India",26.9
14.629263735336862,76.16284031339357,"Ujjappa Vaderahalli, Jagaluru taluku, Davanagere, Karnataka, India",25.0
12.678097115100774,79.79373438535349,"Nariyamputtūr, Uthiramerur, Kanchipuram, Tamil Nadu, India",30.8
11.711374532832705,75.77734356432337,"Karingad, Vadakara, Kozhikode, Kerala, 673513, India",25.2
15.113577371444677,78.08336060600584,"Pernikala, Kolimigundla, Nandyal, Andhra Pradesh, 518123, India",34.0
11.0613012536002,78.7096741317894,"Nallendrapuram, Vellakkalpatti, Musiri, Tiruchirappalli, Tamil Nadu, 621007, India",27.7
13.627493530246753,75.43835905211988,"ದ್ವಾರಮಕ್ಕಿ, Narasimharajapura taluk, Chikkamagaluru, Karnataka, 577134, India",22.7
13.901325854522465,79.65369047154154,"Lingamanayudupalle, Panjam, Venkatagiri, Tirupati, Andhra Pradesh, India",30.9
10.911751501529247,76.73197671914457,"Sadivayal, Coimbatore South, Coimbatore, Tamil Nadu, 641114, India",22.6
15.071479215027248,76.8078009587095,"MDR, Hirehalu Siddapuram, D Hirehal, Anantapur, Andhra Pradesh, India",27.7
11.927551907937762,79.61632324740742,"Madhagadipet, Kalitheerthalkuppam, Viluppuram, Tamil Nadu, 605107, India",30.2
12.379293512675137,75.38117034749173,"LR, Konnakad, Vellarikkundu, Kasaragod, Kerala, 671534, India",24.5
